ID,y,y_predict_LR,y_predict_KNR,y_predict_DTR,y_predict_RFR
12774801,49790,62494.71421547653,62020.66243766354,62291.0,55080.448333333334
12688104,60114,55182.15835705586,44482.45940078924,53900.0,54691.15
12834886,14990,25643.89809628483,23095.38238437016,12044.0,14795.414423976608
12688835,28990,30216.98308972176,22741.119729579535,34584.166666666664,33281.16297334367
12747814,26850,28441.35143405432,19656.415870878092,38990.0,29110.43
12813473,12990,8653.863691739738,20141.931425221046,9990.0,9314.018309675108
12806994,15990,15239.801443536766,19893.43453567852,13990.0,14864.404984126983
12800216,69966,72679.62931083981,90314.04670374379,64888.0,62387.317347346776
12848848,25800,40392.40621322254,40466.964977908836,28844.416666666668,27992.365759683573
12737856,6500,-52.270858405157924,17266.994092482724,7796.666666666667,8456.098027777778
12764886,97990,71896.34635741357,40820.12934293825,93990.0,94488.39
12794197,41970,49341.67914368538,45400.95723681915,39054.81481481482,42323.929914412816
12718005,35990,50677.83101413073,23615.571035202833,36656.666666666664,36246.270833333336
12723878,25047,34336.16873651836,27971.014869763225,17636.9,19128.876964285715
12813016,49888,49695.81401092466,57858.87447222297,47888.0,51102.505
12702874,41990,38659.17386674089,34868.40289366976,33336.28571428572,32357.81963095238
12793917,3250,-23132.64794419892,17670.40308971364,2995.0,4352.098738095238
12779680,62990,38659.21109303087,18386.145665433243,65706.25,54663.5875
12837224,25980,45559.85546355555,37196.34881920112,24990.0,25740.57
12760112,33400,30420.19232574012,20698.27182957102,25990.0,25399.55
12755164,59990,85733.99393714638,78059.13150716382,63990.0,61341.55333333333
12849995,18000,12853.244533697143,14292.460109064596,15890.375,16701.704617272393
12799911,27990,29085.405693591572,27918.01476577278,25754.0,26663.193960718858
12841587,36850,41760.69268292468,40329.39612516764,38155.125,37658.90014285714
12851228,19913,7606.923728998285,24055.27783536516,19670.0,23630.106277777777
12714053,14990,22634.057829092722,24676.276581282757,14999.0,15818.08
12838044,34990,42892.75879132748,34757.02085879006,31957.333333333332,34050.57968065268
12765767,99888,67317.8974807607,24630.41210544643,69950.0,74121.24
12823387,74868,49598.8024661215,44007.462140806216,67476.82352941176,66490.41609758977
12403536,13500,17955.68670785427,24785.063572745647,9500.0,13246.625457393486
12696623,53980,62774.55878300965,68032.42792621064,48386.0,49022.90333333334
12794062,27990,30280.924340006895,26117.28402800509,25754.0,28205.714967861084
12848331,47490,51045.41070803814,52694.89770497421,43880.5,43441.38
12796550,29990,27796.80155047821,27828.608726114322,30489.6,28671.168694624823
12828857,14990,13764.155019644182,21746.287655791286,16733.291666666668,16051.359006164586
12842332,29990,45743.86369181704,70063.53964694557,40990.0,39742.35
12840286,19480,32188.46029755054,27450.502643847678,31216.090909090908,32601.060958633683
12842261,25990,34956.676074795425,41627.951001526344,28548.214285714286,29064.605
12836264,48990,41708.17775437888,45810.75956335565,45552.87425149701,44998.74274742576
12694556,27495,41533.974681732245,38702.67612646703,36240.0,30802.85987392512
12809431,32990,41888.34133258741,53241.90200286052,34265.125,31608.731715538852
12824766,129990,65659.73869605223,59145.67210207778,126800.0,166987.65
12708005,18788,30617.243605238385,14335.508938506306,16990.0,19615.71873870574
12819348,51888,52496.082942829,45189.971600047116,49971.382352941175,50042.270093453415
12810355,38913,7191.906365061179,33617.14240740433,81900.0,55952.78
12835542,32800,35327.149332997855,22719.462220298297,29985.0,31998.286144968966
12817248,36500,39223.912985757925,26412.976158480014,39990.0,39825.2857936508
12724936,32390,35030.71227427898,52222.193022228705,34240.5,36016.9
12844392,19950,40352.131056431215,29573.3168312411,22950.0,30029.54263157895
12846378,23880,39439.66327569401,42092.25008501264,26490.0,27793.47766153128
12773078,5475,-13682.762809289154,10004.789195806092,7365.333333333333,6919.142779461304
12728925,99990,44560.08950687526,43416.96613382981,49990.0,51688.62
